top - 15:13:56 up  3:48,  2 users,  load average: 0.12, 0.04, 0.01
Tasks: 366 total,   1 running, 365 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.9%us,  0.2%sy,  0.0%ni, 95.2%id,  3.6%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1922372k total,  1844140k used,    78232k free,     8752k buffers
Swap:  1563644k total,   509996k used,  1053648k free,   162192k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                              
 1311 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1312 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1313 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1314 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1315 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1316 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1317 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1318 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1319 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1320 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1321 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1322 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1323 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1324 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1325 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1326 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1327 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1328 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1329 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1330 root      20   0  236m  820  672 S  0.0  0.0   0:00.11 zabbix_proxy                                         
 1331 root      20   0  236m  736  632 S  0.0  0.0   0:00.82 zabbix_proxy                                         
 1332 root      20   0  348m  13m  792 S  0.0  0.7   0:01.18 zabbix_proxy                                         
 1333 root      20   0  348m  14m  792 S  0.0  0.8   0:00.78 zabbix_proxy                                         
 1334 root      20   0  348m  14m  792 S  0.0  0.8   0:01.12 zabbix_proxy                                         
 1335 root      20   0  348m  14m  792 S  0.0  0.8   0:00.79 zabbix_proxy                                         
 1337 postgres  20   0  663m 3036 2360 S  0.0  0.2   0:03.64 postmaster                                           
 1338 root      20   0  348m  14m  792 S  0.0  0.8   0:00.79 zabbix_proxy                                         
 1339 root      20   0  348m  14m  792 S  0.0  0.8   0:00.78 zabbix_proxy                                         
 1340 root      20   0  348m  15m  792 S  0.0  0.8   0:00.79 zabbix_proxy                                         
 1341 root      20   0  348m  13m  792 S  0.0  0.7   0:00.81 zabbix_proxy                                         
 1342 root      20   0  348m  15m  792 S  0.0  0.8   0:00.79 zabbix_proxy                                         
 1343 root      20   0  348m  14m  792 S  0.0  0.8   0:00.79 zabbix_proxy                                         
 1344 root      20   0  236m  684  608 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1345 root      20   0  236m  684  608 S  0.0  0.0   0:00.43 zabbix_proxy                                         
 1346 root      20   0  236m  684  608 S  0.0  0.0   0:00.34 zabbix_proxy                                         
 1347 postgres  20   0  662m 2064 2012 S  0.0  0.1   0:00.00 postmaster                                           
 1348 postgres  20   0  662m 2068 2016 S  0.0  0.1   0:00.00 postmaster                                           
 1349 postgres  20   0  662m 2068 2016 S  0.0  0.1   0:00.00 postmaster                                           
 1350 root      20   0  236m  684  608 S  0.0  0.0   0:00.06 zabbix_proxy                                         
 1351 root      20   0  236m  700  624 S  0.0  0.0   0:00.58 zabbix_proxy                                         
 1352 root      20   0  236m  468  396 S  0.0  0.0   0:00.52 zabbix_proxy                                         
 1353 postgres  20   0  662m 2068 2016 S  0.0  0.1   0:00.00 postmaster                                           
 1354 postgres  20   0  662m 2148 2096 S  0.0  0.1   0:00.00 postmaster                                           
 1356 postgres  20   0  662m 4408 3168 S  0.0  0.2   0:00.00 postmaster                                           
 1357 postgres  20   0  662m 4396 3156 S  0.0  0.2   0:00.00 postmaster                                           
 1358 postgres  20   0  662m 4408 3168 S  0.0  0.2   0:00.32 postmaster                                           
 1359 postgres  20   0  662m 4400 3160 S  0.0  0.2   0:00.00 postmaster                                           
 1360 postgres  20   0  662m 4384 3148 S  0.0  0.2   0:00.00 postmaster                                           
 1361 postgres  20   0  662m 4392 3156 S  0.0  0.2   0:00.00 postmaster                                           
 1362 postgres  20   0  663m 5452 3948 S  0.0  0.3   0:00.20 postmaster                                           
 1363 postgres  20   0  662m 4396 3156 S  0.0  0.2   0:00.00 postmaster                                           
 1364 postgres  20   0  662m 4396 3156 S  0.0  0.2   0:00.00 postmaster                                           
 1365 postgres  20   0  663m 5452 3948 S  0.0  0.3   0:00.19 postmaster                                           
 1366 postgres  20   0  663m 5424 3920 S  0.0  0.3   0:00.21 postmaster                                           
 1367 postgres  20   0  662m 4404 3164 S  0.0  0.2   0:00.00 postmaster                                           
 1368 postgres  20   0  662m 4404 3164 S  0.0  0.2   0:00.00 postmaster                                           
 1369 postgres  20   0  662m 4404 3164 S  0.0  0.2   0:00.08 postmaster                                           
 1370 postgres  20   0  662m 4392 3152 S  0.0  0.2   0:00.00 postmaster                                           
 1371 postgres  20   0  662m 4404 3164 S  0.0  0.2   0:00.00 postmaster                                           
 1372 postgres  20   0  662m 4400 3160 S  0.0  0.2   0:00.00 postmaster                                           
